,ISO-code,population,GDPc,mort,Population growth,Fertility,Life expectancy,Suicide rate,Meat consumption,Urbanization rate,Sex-ratio,Country,dev_index,clusters
30,CAN,38246108.0,52085.0356853372,3.2,0.547707006298006,1.4,81.7487804878049,11.8,108.1,81.6,0.98,Canada,0.6536073563415742,4
31,CAF,4919987.0,1020.53316475871,38.8,1.85082830372171,4.568,53.679,12.3,28.0,42.2,0.99,Central African Republic,0.07056459904054611,0
32,TCD,16914985.0,1590.55299027058,32.8,2.93430541165157,5.553,54.505,6.4,14.3,23.5,0.98,Chad,0.14768134479247425,0
33,CHL,19212362.0,29104.0580923,4.4,0.501731210945706,1.611,80.329,9.0,66.4,87.7,0.97,Chile,0.5548839448225363,3
34,CHN,1412360000.0,19338.234084501,3.5,0.0892522000412526,1.7,77.097,8.1,52.4,61.4,1.06,China,0.5249695655164822,3
35,COL,51265841.0,16893.8171849121,7.2,0.749806312672442,1.771,77.46,3.9,33.9,81.4,0.98,Colombia,0.4886631226279774,2
36,COM,888456.0,3284.40149225267,29.0,2.14575386822786,4.073,64.525,5.4,7.6,29.4,0.94,Comoros,0.19670511795671336,1
37,COD,92377986.0,1218.76812781148,26.8,3.09642352600909,5.718,60.971,6.7,4.8,45.6,1.0,Democratic Republic of the Congo,0.2245716178676952,1
38,COG,5657017.0,3616.86450812392,18.7,2.48645731192864,4.321,64.804,6.5,13.3,67.8,1.01,Republic of the Congo,0.3286450055181076,1
39,CRI,5139053.0,23387.1322253792,5.6,0.878306567085204,1.721,80.465,8.1,40.4,80.8,1.0,Costa Rica,0.5253583393369743,3
40,CIV,27053629.0,5939.7641364134,33.2,2.52804005550497,4.536,58.104,8.9,11.3,51.7,1.01,Ivory Coast,0.1430588933338361,0
41,HRV,3899000.0,33800.5514794393,3.0,-3.74237674765796,1.48,77.7243902439024,16.4,49.9,57.6,0.93,Croatia,0.5787801363112357,3
42,CYP,1215588.0,42556.109375,1.6,0.679092429661897,1.313,81.135,3.6,131.3,66.8,1.05,Cyprus,0.6170809368720336,4
43,CZE,10703446.0,44260.8564723717,1.6,0.0522211181803704,1.71,78.2268292682927,12.2,77.3,74.1,0.97,Czech Republic,0.6239309440873045,4
44,DNK,5856733.0,64651.2164467137,2.5,0.433414489409722,1.67,81.5512195121951,10.7,145.9,88.1,0.99,Denmark,0.7068901293532722,4
45,DJI,1002197.0,5925.79529621207,30.4,1.42651470693391,2.627,67.49,9.6,17.1,78.1,0.83,Djibouti,0.1790968061945301,0
46,DMA,72172.0,11973.8679087569,30.0,0.251104784314776,1.9,76.5975609756098,,67.1,71.1,1.02,Dominica,0.18513045897045247,0
47,DOM,10953714.0,20769.1808196589,23.4,0.970669523545916,2.299,74.257,4.9,37.8,82.5,1.02,Dominican Republic,0.2728775186942061,1
48,ECU,17888474.0,11661.1931684907,6.7,1.38140899103827,2.38,77.216,7.6,45.0,64.2,0.99,Ecuador,0.4811656416015674,2
49,EGY,104258327.0,13316.2449923351,10.3,1.86258211556218,3.236,72.15,3.0,22.5,42.8,1.05,Egypt,0.4433915203026486,2
50,SLV,6518500.0,9668.72725607406,6.2,0.496729089150811,2.002,73.533,6.1,21.4,73.4,0.92,El Salvador,0.4816458550986847,2
51,GNQ,1449891.0,18127.1864841393,28.7,3.28862715055553,4.346,59.057,7.9,,73.1,1.0,Equatorial Guinea,0.20294636089711188,1
52,ERI,3213969.0,1625.50767298855,17.7,1.36371886893331,3.933,66.679,10.9,7.7,41.3,0.97,Eritrea,0.3404984147092407,1
53,EST,1329254.0,42191.5144000302,0.9,-0.0169253550873438,1.58,78.3463414634146,14.9,67.4,69.2,0.88,Estonia,0.6169725601716605,4
54,SWZ,1172369.0,9815.81225742683,20.3,1.04651135819659,2.919,60.721,29.4,,24.2,0.9,Eswatini,0.3102919717814447,1
55,ETH,117876226.0,2599.73616529588,27.0,2.50197331002513,4.049,66.953,5.4,7.9,21.7,1.0,Ethiopia,0.22225838084073435,1
56,FJI,902899.0,12059.7750268817,11.6,0.717487181851701,2.729,67.561,9.0,39.1,57.2,1.03,Fiji,0.4249821344979589,2
57,FIN,5541696.0,55006.6453072237,1.4,0.21954191181888,1.37,82.1317073170732,15.3,67.4,85.5,0.97,Finland,0.668036928160196,4
58,FRA,67499343.0,50728.667429396,2.6,0.177099191063048,1.83,82.1756097560976,13.8,101.1,81.0,0.96,France,0.6488049545527477,4
59,GAB,2278829.0,15597.5210810635,19.7,2.35776614251335,3.869,66.69,8.4,46.0,90.1,1.08,Gabon,0.3201552892292683,1
60,GMB,2486937.0,2433.89839598928,25.7,2.86637560258551,5.087,62.383,4.8,5.2,62.6,0.98,The Gambia,0.23889134971740664,1
61,GEO,3708610.0,16997.1489389764,5.0,-0.379636607027231,2.046,73.919,9.2,26.0,59.5,0.92,Georgia,0.5085484276990843,3
62,DEU,83129285.0,57927.5900741703,2.2,-0.037989020083499,1.53,80.9414634146342,12.3,82.1,77.5,0.96,Germany,0.679188866135863,4
63,GHA,31732128.0,6178.28506549184,22.9,2.09921643343319,3.765,64.347,6.6,9.9,57.3,0.97,Ghana,0.27567104151681077,1
64,GRC,10664568.0,31295.1453325019,2.4,-0.336885796087654,1.34,81.0878048780488,5.1,78.7,79.7,0.95,Greece,0.5709935728693519,3
65,GRD,113015.0,16680.4150720476,10.9,0.439845699231101,2.023,72.426,0.7,97.0,36.5,1.03,Grenada,0.44035073325584306,2
66,GTM,17109746.0,9769.23822653895,11.1,1.4803168061015,2.777,74.529,5.9,23.8,51.8,0.99,Guatemala,0.42874963289474877,2
67,GUY,790329.0,24493.714070261,17.3,0.478157888568595,2.418,70.023,40.3,31.8,26.8,1.02,Guyana,0.35655026580816285,1
